,Song,Artist,Genre,Lyrics
151,for the love,fabolous,Hip-Hop,"would you do it for the love would you do it for the love could of left a long time ago fuck it where ima go? a brother back in the house couldnt let obama go do it cause you love it nigga, advice from my momma go those that just follow green, be the first kind to go being broke aint a joke, im too comical seven digits nigga, 2 commas ho make your first million and dont make it your last dont come if you aint ready, dont try to make it too fast you cant learn shit, if you never make it to class you cant just recycle what should be placed in the trash i started wanted more money, and a stacey dash a car that cost a house and a place to crash pull the hammer like a camera; you dont wanna face the flash cause youll lose one of your sons and its no replacing nash bet the faces you show be the same faces you stash theres more where that came from yall know where i came from its all about that boy that call me papi so im a keep making that paper copy you squares could never stop me, that triangles to play me two lines for you fuck boys, now pause that, play me right from where i left off that, lets get back to that real shit that sit back just chill shit. with packs of that kill shit i chit chat bout trill shit, spit that hot feel shit i give you four bars itll be a kit kat of some real shit who fucking with me? i mean besides your bitch i deebo your ho, you niggas should hide your bitch like the chain reds grandmomma gave him i got a thing for women, i like them misbehaving you know like bad, mike bad so ima checkem when i seeem nik(e) ad cause in this life things come and go like fast and im not one who favors using words like had im into having shit, turning dreams to average shit bring your trophy to the club, dallas maverick shit niceeee i came from first of the month money to waking up whenever i want money niceee i chase paper, i hunt money make 50 racks at 3pm and call it lunch money niceeee nigga ya stunt money is blunt money your boo only got a text back once from me and that was what the fuck you want from me? but i know what the fuck she want from me you aint gotta front for me i know i know what you want from me i know i know we all want the money its only right we getting to it question i come to you with is would you do it for the love would you do it for the love would you do it for the love would you do it for the love would you do it for the love would you do it for the love would you do it for the love would you do it for the love would you do it for the love would you do it for the love"
152,fuck-you,gangsta-boo,Hip-Hop,"[intro - gangsta boo]
yeah, y'all know what time it is nigga
i'm bringin' a lot of shit today
i'm bringin m-child
i'm bringin' two for ya
i'm also bringin' the pain nigga
'cause when i come, i'm comin' for you
so you better ask some-mothafuckin-body
for the 9-8, until 2 g's nigga
i'm takin' over
you understand this type of shit
three 6 mafia, hypnotize, prophet posse
fuck you bitch!
(m-child)
1 - when we high off that green and gin
ain't no tellin what we'll do
you got some ani' with the crew?
(fuck you! fuck you!)
with that heat we be bussin
conversation no discussion
hollow points they comin straight at you!
(fuck you! fuck you!)
repeat 1
[gangsta boo]
bustin' bitches daily, maybe it's the herb in me
i wanna see what you hidden for, shake 'em and see
time to steal, time to kill, time to get real, and wassup
i'm just a beefin' in the club, tear that fuckin' bitch up
i'm in the corner 'round some smoke, smokin' fine ass weed
freakin' like vanessa del rio, won't you take you a peak
mob, it was me, bringin' shit to the door
i be the lady unabomber, bombin' bitches and mo'
so time to go toe to toe, with a bitch that be rockin'
ain't nothin' stoppin' prophet posse 'til your body be droppin'
you fuckin' bitch, spittin' rhythms in your rhyme like a joke
i'm gonna tote you like a 90 when i'm pullin' that dope
i know you're hopin' that i'll fall to my face, but i ain't
my shoes are stuck to the ground when i walk out on bank
another fuckin' lp dropped like it's some rice
we be straight like 9:15, bitch, fuck your spot
nigga!
repeat 1
repeat 1
(m-child)
let cha let cha mind explode
with these lyrics i control
just a peak to let you see
how m-child do it in flip mode
now i'm baddest on a level
find a new way to be paid
ain't gon' burn or slice or beat 'em down
with bats and prophet dank
yellin' thangs, i'm comin' up
and niggas want your life to live
pack that steel if you real
but you better shoot to kill
all that flossin' ain't gon' do
bring a gun without the clip
and for the rest of your life
you'll be walkin' around with a half-ass limp
read my lips, don't fuck with us
because we dangerous
and when we on that good stuff
like a junkie, we be anxious
to get up in yo shit
and take your life with all quickness
a orange mound playa that be strictly bout his business
watch out, nigga
don't give a fuck, nigga
walk on top of water
we some mean ass niggas
prophet 'til i fry
so fuck with me, you can't avoid
plus the first time you slip
you goin bungee jumpin without the cord, bitch!!!
repeat 1
repeat 1
(koopsta knicca)
coulda been a friend, seemed to busy pimpin'
gettin' upon the skin
i had no team, 34 hancock
puttin' them cuts upon these men
again it's on, don't be phony
tellin' these hoes that i love 'em
you think you're tough fool
look at your ? , hey, they groupies
nigga, don't give a fuck
wanna know 'bout better things
that fool is gonna be ?
raisin' doja, what i saw is me
i best get the motha-fucka off
b-b-ba-da-boom, pa-ta-pa-ta-pow
loadin' got me goin' down
swear i'm trippin'
'fore i come up, just-a left a fuckin' cal
on the ground with the 40
hell, and me criticizing', no
ho, i never sold no dope
oh shit, then shoot me 'cause i'm ?
some of them charges, said the sergeant
""you been wanted for the longest, on the street, they call you creep""
nah, nigga, my name is ? ?
well, if you're wanted
then i'm gonna give you something to collect
man, you can take that mothafuckin' gat
and stick that heat up your ass
nine in my ? , got the 5 ? ? ?
3 with the tag around my throat, gotta let me go
repeat 1
repeat 1
[prophet posse]
2 - hey, hey, hey, hey, hey, hey...
fuck you, fuck you
repeat 2 to fade"
153,united-minds,arrested-development,Hip-Hop,"united minds of america
make your vocal chords reach the clouds and
touch the crowd of folks that over-stand there's no jokes
we must network together as one and
tell the oppressor we'll take no less than
total justice a social setting yo i'm bettin'
we can stop new world order
start servin' liberty may i take your order
free political prisoners without no question
let's give props where due
if it was you wouldn't you want to know
that someone cares for what you do so let's show
political prisoners, homeless humans, organizations
various movements
that the people in america have some discipline
to act on their belief therefore stress activism
although you are only one person
if for truth you still thirst well thirst then
make the difference by joining
some organization or some movement
let me explain the powers that be
are families of power with old money
unfortunately on their souls hangs a sold sign
and in righteous sight they are so blind!
infatuated with their power and their greed
they don't see that god is the answer
greed has planted a seed within the souls of the 13 families
drug dealers and hustlers
all my brothers and sisters that are hustlers
selling crack cocaine to your followers
to me you're a sell out an uncle tom
in the tom tom club droppin' bombs
causing confusion shootin' and killin'
you're playin the role putting fear in populations
making us allow the system to ""protect"" us
allowing the chicken snake to protect the chickens
police brutality claiming victims
the powers that be may come with their solutions
but trust me their trees bear no fruits no
i guess that's why i get spiritual
spirituality supports reality no not catholic no not baptist
no not passive
very active!
united minds of the americas
minds of africa and the caribbean
and the europeans and the asians and australians
it's not just race we're all in this together!
lets play a game of jeopardy what's the question?
social medicines the answer
i try to eat healthy to avoid the cancer
one ounce of prevention beats 100 pounds of cure
pure ways of living is not hippish
it's not white not black it's just conscious
conscious of your health, conscious of your self
instead of being so damn conscious of your wealth
(or lack of so)
do you know about the panthers,
the move organization, kwame
nkrumah, the zulu nation or just nikes and pumas
or your fascination with the so-called be-boy fashion nation.
if you can please recycle
even the people in the hood please recycle
i know it wasn't our fault that they went psycho
they meaning industry exec's who flex for profit!
traditional societies and islanders
please retain your culture and don't give up!
don't you understand we must understand this
if we want to live in bliss"
154,rain,andre nickatina,Hip-Hop,"fast like an automobile- no thrill, rockin' the game 'till i get killed baby uza freak? okay. keep my life in the fast lane set it right where the thunders at you know i dress like a lumberjack mixin it up, like a pot of stew sometimes i do what my momma do 'thank the lord, break the chain, keep your wickedness in vain respect the name state your claim' 'cause it's gon' be times, when it rains [chorus] come and wash away the pain 'cause they dun' taste my tears 'cause i've been cryin' fo years as far as the game goes no love bullets fly to rip you up holy con'ver adjust your rhyme bookin' by the dollar imma be a scholar clouds start to gather around, tennasee tears on that clown focused like a falcon scoutin on the hideout in the mountains 'cause when the bullets start to scream, best believe you both be shoutin' thinkin' they bustin fo the game talkin' bout they new cocoain all i'm tryna say mang is come verify urself in the rains come and wash away the pain 'cause they dun taste my tears 'cause i've been cryin fo years you know i roll so cold just like a bat out the hottest hell mixin' pink bunny when the jewelry sell do it again when i make bail you know the streets a hard drive everyday a newer crime caught up in the wrong design watch your heart just flatline shake it like the earthquake does nothin but steel inside your blood colder than a winter storm some will die and some are born but do it all- you miss, remain full respect for this here game forget your unbrella mang and take a ride with me in the rains come and wash away the pain 'cause they dun taste my tears 'cause i've been cryin fo years conversation they cutthroat deaths of sangs on every note tell the truth on every quote 'cause mothafuckas come up short actin' like this is hollywood in the real world and it hardly good talkin' like ya you don't care end up in a wheelchair livin' witcho mama while yo friends in the bahamas and sanas and premadonas mang livin' like the dope game forever about this whole thang smokin' on weed in the rains come and wash away the pain 'cause they dun taste my tears 'cause i've been cryin fo years"
155,drop-top,flosstradamus,Hip-Hop,"(hook x2)
drop top foreign with the horse in it
three bad bitches with some dope kicks
and no need fo' waitin, we gon' go get it
hit the stripclub, spend it with the whole clique
drop top x4
(verse)
hit the stripclub, my niggas all crazy
i tatter the baggage, inflate the baby,
gon' take that lil' bag of gravy
security trigger, his eye kind of lazy
he look just like tracy mcgrady
we ran outta words, we ain't got some more
identities, they playn later
drop top foreign with the horse in it
the o's good, cause it hit that live meat
you can see me while i'm drivin', cause the cart's in it
and my female in the back, bitches round in it
(verse)
drop top with the benz on me, ask disco skirt, evidently
three bad bitches like a g run cheap
no doze in the air, rpg
tell me i'm a stranger, no, i don't blame 'em
then i pull off in my rainman
be damage a burger, send me a cane
bitch, you know i ain't no hater, true
my niggas stop the country just to show her how we kick it
take 'em to the strip club, tell 'em cut the riches
20 thousand on the bitches, 2 thousand dollas fo' the brickses
terrieta, how we kickin', this a young nigga and we livin'
(hook x2)
drop top foreign with the horse in it
three bad bitches with some dope kicks
ain't no need fo' waitin, we gon' go get it
hit the stripclub, spend it with the whole clique
drop top x4"
156,it s personal,dmx,Hip-Hop,"we all got guns, we all got dogs we all gon' make that trip to the morgue we all find it harder to see through the fog we all know the difference between right and wrong we should all live life by one fact before you doin' dirt, the dirt gon' come right back i seen cats go out like suckers i seen cats get down like, ""yo, them some bad ***"" i see fake niggaz and the games they play yo, i deal with that *** e'ry day ain't gon' stop me from doin' what i'm doin' i got things beside *** to be pursuin' it's that craft for me, the half of me let through niggaz in the door after me yo, somebody stop me, please, somebody come and get me if i go, i'm takin' niggaz with me dog, nigga, ghost, nigga hop the bar with the toast, nigga it's like the lord gettin' close, nigga it's personal, now we gotta smoke niggaz it's personal, now we gotta host niggaz dog, nigga, ghost, nigga hop the bar with the toast, nigga it's like the lord gettin' close, nigga it's personal, now we gotta smoke niggaz it's personal, now we gotta host niggaz nigga, f*** the cop and the warrant you get a chance, pop an informant all i need is a *** and i'm torment hit every hole in the wall, have me a ball and then slide the f** out in the top of the mornin' if you hear me *** it on 'em, i'm poppin' it on 'em i don't *** around nigga, better stop it and mourn 'em and who the *** asked you to rhyme? i'm the ghost, when i come around they throwin' up the hazardous sign and you ain't around chemicals, just around generals who spend, passin' they time, blastin' they *** rather die with my man then the five for ya livewires spend half of ya time, smashin' ya spine other half, we gettin' money and more money you think about cars, i got 'goin' to war' money we gettin' that dog money we still in the front of the store, money and if anybody slip, they gettin' 'sent to the morgue' money dog, nigga, ghost, nigga hop the bar with the toast, nigga it's like the lord gettin' close, nigga it's personal, now we gotta smoke niggaz it's personal, now we gotta host niggaz dog, nigga, ghost, nigga hop the bar with the toast, nigga it's like the lord gettin' close, nigga it's personal, now we gotta smoke niggaz it's personal, now we gotta host niggaz it's like lately i've been feelin' so weak at the knees and speakin' to niggaz is just like speakin' to thieves so i keep the hawk ready to eat 'em guess already? then meet 'em i'm fair game but i'm ready to cheat 'em the streets ain't right now, the *** white is light brown these niggaz ain't nice, they nice clowns that's why i'ma start layin' them right down and have 'em there layin' in the casket, ice down jacob watch on 'em, mortician must've been hazed up 'cause you can see the makeup spots on 'em this is way beyond ya evian the golden king, it's more like polo spring and what makes it even worse, yo, it's that it's personal maybe even ya earth can go i'll make it where they can never find the *** right outta the bar, with all kind of *** dog, nigga, ghost, nigga hop the bar with the toast, nigga it's like the lord gettin' close, nigga it's personal, now we gotta smoke niggaz it's personal, now we gotta host niggaz dog, nigga, ghost, nigga hop the bar with the toast, nigga it's like the lord gettin' close, nigga it's personal, now we gotta smoke niggaz it's personal, now we gotta host niggaz yeah, y'all niggaz can get caught up in the hype if you want bodies drop over here, this is not a game, man you wanna get caught up in the hype again then you can fall in the hype again this is a movement, double are, nigga, you know what's up and if you don't, you gon' get to know what's up yeah, we ain't playin wit y'all niggaz this year '06, '07 and on, nigga, what's up? pop off, you know how i work"
157,moonstruck,action bronson,Hip-Hop,"aw yeah! we in the motherfuckin' place tonight! show's about to start guys, everybody get to your seats bronsolinio's comin' to the stage mmm, knew about the local things what they all talkin' about step in the door, bronsolini, the mayor the kush replayer, 80's bushy pussy gushy slayer i'm a star and i'mma prove it saw me in the foreign car, shorty had a movement comin to your town, lockin' it down, rockin' it out i'm on fire there's no stoppin' it now, it's tournament edition shorty on the arm an ornament for fishin' brussels eatin' breakfast in the orient for chicken, listen know my mother wanna see me win slide the crack inside the slot you put your cd in give a couple bucks, let me live, puff a dutch cause ain't no motherfucker playin' me in suckerpunch it's my time, no more standin' in line now it's time to eat, paired up with the rarest of wine hair red just like the meat, never careless with mine play your part and stay sharp daddy, cherish your crime aye yo, you couldn't wait to hear this fly shit shorty open up your thighs quick, smoke the pussy like a thai stick my style is lovin' in the island by dubai dick i leave my socks right on the floor cause this is my shit intoxicatin' aroma, drugs rolled in a diploma beautiful wine, we in sonoma yo the cheese plate, fish a pike out the lake take a dyke on a date, she let me pipe cause i'm an ape white limey, maneuver at night, fuck assumption bronsolin' bring the truth to the light, that we the best and ain't no motherfucker tellin' me different most talent and i practice, ain't no shock that i'm winnin' double-layered linens known for sinnin' in cinnamon women in tinted renteds cinderella pendants, the lord flow tremendous all i got is myself so fuck a co-defendant struck ass stripper, she tried to play me yo the whore's demented bronsolinio, amuse bouche just a little fuckin' taste of that mouth bitch"
158,live-from-the-gutter,future,Hip-Hop,"hendrix
(i woke up like this)
reporting live from the fucking gutter bitch
i ain't talking about some big money shit
i ain't talking nothin' but big money shit
i ain't talking nothin' but big money bitch
reporting live from the gutter
i'll buy these motherfuckers talking big money shit bitch
straight up out the gutter, never had shit
now we got 90210 on our address
talking 10 mill just to get an asset
i know them tears still falling down on my last bitch
this money made me hungry i'm a savage
i've seen stars lining up you couldn't imagine
i watched my broad give up on me like i'm average
i went back inside the attic count it up and started laughing, ha
i went back inside the attic count it up and started laughing, ha, ha
cuban links hanging on my wrist i was on welfare
wake up in the house i look around see bales everywhere
i see girls everywhere, i see scales everywhere
i see hell everywhere, i get mail everywhere
walked outside buford county came out in a learjet
a fiend for that lean i ain't even started drinking beer yet
they bust the trap, i live there
came out clean, i ain't clean my niggas still there
just imagine you was living lavish and they still there
wake up in the crib, pools sitting on the hill now
i just need some niggas with me that gon' keep it real now
got a lot of pretty bitches i just paid they bills now
money make 'em feel good, but does she make me feel good
known for gettin' that guala out in europe, but i'm still hood
known to pop a bottle on a motherfucker like i'm on my last damn dollar
reporting live from the fucking gutter bitch
i ain't talking about some real money shit
i ain't talking nothin' but big money shit
i ain't talking nothin' but big money bitch
reporting live from the gutter, i will buy this motherfucker
it's not even a discussion (whoop)
and i got my niggas with me, yeah, yeah
she gon' end up dipping with me, yeah, yeah
and i got her tripping off of yay, yay
pillow talking dishing out on all y'all
in one ear and out the other
shut your mouth and take what's coming
live from the gutter dog, yeah, yeah
she don't want pets but i'm a dog, yeah, yeah
and she love it dog, yeah, yeah
and she love it dog, yeah, yeah
on the billboards, all we do is pop shit
soon as night fall, that's when we lock in
this for my niggas on that bullshit and that nonsense
this for my dogs that go karrueche with the chopsticks
and we gon miss you
they don't wanna smoke, they don't want no issue
but these the times we gotta live through
but these the times we gotta live through
and i'm
reporting live from the fucking gutter bitch
i ain't talking about some real money shit
reporting live from the damn gutter
swear to god i'll buy this motherfucker ah"
159,let s get crazy,drag on,Hip-Hop,"[drag-on (dmx)] flame on dog nigga (what!) flame on (uh) dog (uh uh) flame on (what!) dog nigga (uh uh) flame on [drag-on] awe shit drag done hit the big screen with a gangsta lean still role with the squad my convertible top is hard yours is rag i bought x x7 he bought me a jag with a h speed stick with 220 on the dash we don't know the meaning of leasing we drop cash ya bodega rappers we put style together i bought a swede bubble goose and x reptile leather when we step up in the club its like awe shit there the brothers buy the whole bar and spit it on each other like he teach i learn he bite i burn we each take our turn to murder ya (uh) hold the rubber grip firm let the peoples heads turn and count the money that we earn and burn it all (uh) cause we gon get it this year make them sit in they chair having thinking like damn what you got there? [chorus: dmx (drag-on)] let's get crazy (all my ladies over there) lets get crazy (all my dogs right there) let's get crazy (all my gangstas in the club) let's get crazy (everybody simmer down) let's get crazy (all my ladies over there) lets get crazy (all my dogs right there) let's get crazy (all my gangstas in the club) lets get crazy (everybody everybody come on come on) [dmx] dog nigga x gon spit it cats is in trouble ya gon get it what you should do is peep how i stay with it kinda sorta play with it like everyday with it make a nigga lay with it that's how i get down cop money over there hit the club skip town i haven't got time for the bs ya say the bs ya gon see x ya niggas see x man its on don't give a fuck about right or wrong alright wait let me just simmer down now money cross the line aight put him down now things look at you running your mouth its things that got niggas running in your house same things that got me doing what i do its things that got me busting at you (ya bitch) [chorus] [drag-on] kick rocks bitch, come up out of them clothes we only fucking with bitches that's 21 years and grown quick check the id's on these hoes especially that one there that keeps digging up her nose ice is blinging, ears is ringing niggas is scheming, bitches is fiending panties is creaming x is up in there and the clubs is screaming like drag's in there [chorus]"
160,my-life,50-cent,Hip-Hop,"my life, my life
makes me wanna run away
there's no place to go
no place to go
all the confusion
it's an illusion like a movie
got nowhere to go
nowhere to run and hide
no matter how hard i try
yeah, 03, i went from plain filthy to filthy rich
man, the emotions change so i can never trust a bitch
i tried to help niggas get on, they turned around and spit
right in my face, so game and buck, both can suck a dick
now when you hear 'em it may sound like it's some other shit
'cause i'm not writing anymore, they not making hits
i'm far from perfect, there's so many lessons i done learned
if money is evil look at all the evil i done earned
i'm doing what i'm supposed to, i'm a writer, i'm a fighter
entrepreneur, fresh out the sewer, watch me maneuver
what's it to ya? the track i lace it, it's better than basic
this is my recovery, my comeback, kid
my life, my life
makes me wanna run away
there's no place to go
no place to go
all the confusion
it's an illusion like a movie
got nowhere to go
nowhere to run and hide
no matter how hard i try
while you were sipping your own kool-aid getting your buzz heavy
i was in the fucking sheds sharpening my machete
sipping on some of that revenge juice, getting my taste buds ready
to wolf down this spaghetti, or should i say this spaghett-even?
i think you fucking meatballs keep on just forgetting
thought he was finished, motherfucker, it's only the buginning
he's buggin' again, he's straight thuggin', fuck who he's offending
he'll rip your vocal chords out and have them bitches plu~gged in the
motherfucking wall with three thousand volts of electrucity
now take the other end of 'em, then plug them motherfuckers in each
one of your eye sockets cause i thought you might finally fucking see
that'll teach you to go voicing your cocksuckin' opinion to me
i done put my blood, my sweat and my tears in this shit
fuck letting up, you're gonna end up rugretting you ever betted against me
feels like i'mma snap any minute, yeah, it's happening again
i'm thinking about just saying
""mother fuck everybody that's up in this bitch, but 50!""
'cause this is all i know, this is why so hard i go
i swear to god i put my heart and soul into this more than anybody knows
i'm trapped, so all i do is rap, but every time i rap i'm more trapped
and i rap myself right into this bubble, oh i guess it's bubble wrap
this is like a vicious cycle, my life's in a crisis
christ, how was i supposed to know shit would turn up like it did?
feels like i'm going psycho again
and i might just blow my lid
shit, i almost wish that i would have never made recovery, kid
'cause i'm running in circles with
my life, my life
makes me wanna run away
there's no place to go
no place to go
all the confusion
it's an illusion like a movie
got nowhere to go
nowhere to run and hide
no matter how hard i try
i haven't been this fucking confused since i was a kid
sold like forty million records, people forgot what i did
maybe this is for me, maybe
maybe i'm supposed to go crazy
maybe i'll do it three a.m. in the morning like shady
psycho killer, michael myers, i'm on fire like a lighter
try to say this ain't classic, get your ass kicked mad quick
wrap your head up in plastic, pussy
now pick the casket, dirt nap with the maggots
it's tragic, it's sad it's
never gonna end, now we number one again
with that frown on your face, and your heart full of hate
accept it, respect it
this a gift, god-given, like the air in the lungs
of every fucking thing livin'
my life, my life
makes me wanna run away
there's no place to go
no place to go
all the confusion
it's an illusion like a movie
got nowhere to go
nowhere to run and hide
no matter how hard i try"
161,picture perfect,chris brown,Hip-Hop,uh oh [repeat x3] you might've seen her on every cover of every magazine but can't nobody get her but me uh oh there she go [repeat x3] can't nobody get her but me hot damn let me tell ya man she look so good i'ma say it again so good that i can't explain when she do what she do she gon' do her thing over here miss lane come on get fly with a superman you ain't gotta worry i won't play no games baby tonight so don't front you know you wanna stay it's all good so baby come and play it's picture perfect the way you work it girl what's your purpose? cause i deserve it girl before we get into it something crazy all ya fellas back up off my lady get you one cause i got that one [repeat x4] it's the way she wear her clothes the beauty of a low the definition of a star wanna meet her? it's picture perfect the way you work it girl what's your purpose? cause i deserve it girl before we get into it something crazy all ya fellas back up off my lady get you one cause i got that one [repeat x4] it's the way she wear her clothes the beauty of a low the definition of a star wanna meet her? damn girl set my flame ablaze top model chick from my favorite page at the same time form around the way when she break it down she gon' do her thing after the beat drop you can hear the bass from the parking lot you ain't gotta worry you won't tell me stop baby tonight so don't front you know you wanna stay it's all fun so baby come and play it's picture perfect the way you work it girl what's your purpose? cause i deserve it girl before we get into it something crazy all y'all fellas back up off my lady get you one cause i got that one [repeat x4] it's the way she wear her clothes the beauty of a low the definition of a star wanna meet her? it's picture perfect the way you work it girl what's your purpose? cause i deserve it girl before we get into it something crazy all ya fellas back up off my lady get you one cause i got that one [repeat x4] it's the way she wear her clothes the beauty of a low the definition of a star wanna meet her? hot damn i got the hottest chick she gotta be a goddess her body's sick 3-d booty like holy shit she holding them angela jolie lips wit the tig ol' bits willy get whipped when she wiggle it she jiggle it my stick gets stiff make a brother think she a hypnotist cause she hypnotize brothers gon' trip when she arrives looking like she fell out the sky heaven's missing an angel guys gon' cry cause she chilling wit me i am willy in love wit double d cups and she's that honey just need one i don't need many she loves me never money or pennies look if you want brother you ain't getting any that's mine yep yep that's right sonny get you one cause that's my honey get you one cause i got that one [repeats x4] it's the way she wear her clothes the beauty of a low the definition of a star get you one cause i got that one [repeats x4]
162,positivity,gangstarr,Hip-Hop,"""now let's get off this negative tip, and go positive"" --> chubb rock
* dj premier cuts n scratches *
[guru]
now is the chance to advance and get an outlook
create the circumstance, because i doubt books
can relay, words this way, so i'll portray
a new image, and let's begin as
members who pledge to, look up ahead to
a beautiful world, though we've been led to
believe it will not be and, we still are seein
agreein there'll be peace, the wealth will increase
and we'll prosper, you know like flourishin
the rhyme i toss ya, it will be nourisihin
cause i must bring, ideals for better living see
because i do believe in positivity
""positive but never negative""
* dj premier cuts n scratches *
[guru]
weak is the clown, much weaker is the fool
i'll overrule to duel and to school
for reasons that are so deep, i don't need no cheap
people to identify, i'll just say hi and bye
since i'm an optimist, i'll turn and walk with this
tape playing loudly, inside my headphones
mc's that crowd me, turn into headstones
because i don't have time for, powerless minds or
suckers who suck, because i find more
interesting topics, you can not stop it
i drop it and rock it i shock it, that's how i'm livin b
i have to live my life with positivity
""positive but never negative""
* dj premier cuts n scratches *
[guru]
havin nothin to lose, so much to win
bein grateful for my darker skin, i take you for a spin
and then begin to groove and sooth and move your whole
crew, the guru, and truth i wanna give to you
so watch as i break through to your dome
cause i'm prone to give a message, then back home
is where i'm goin, still knowin, my life's right
and that days to come, will be fun
i'll achieve, i'll receive, and i'll be livin free
me and my dj premier with positivity... positivity!
""positive but never negative""
* dj premier cuts n scratches *
[guru]
so if you're generatin positivity out there
you know that's the move
yo me and premier, and dancer h.l. rock
we always got positivity
brooklyn, the boogie down
all the boroughs got positivity
jersey, philly, boston, houston, cleveland
l.a., and the rest of the country's got positivity
the u.k., germany, the rest of europe's got positivity
and of course africa and the rest of the world
they all have positivity
cause everybody should have positivity
peace and bless"
163,hercules,george watsky,Hip-Hop,"chorus i know i'm just as strong as hercules because it's wired in my circuitry and if i'm just as strong as hercules you'll see i'm just as strong as hercules verse 1 in 1638 they came from sweden, ship shape settlers late looking for eden, the delaware tribe wasn't really keen on leaving so they ""bought em out"" or slaughtered them quick and got to breeding 1659 they built a fortress stationed soldiers, and gave them horses but now their forces were losing their resources moving in the living quick as moving out the corpses started changing courses, when we got the quakers and they been running town since cromwell met his maker they didn't take pay cut, quakers got their cake up the paper came triangulating, trading with jamaica now in the 1700s they took care of biz built the families through some noble marriages still in wilmington, doing what their parents did living up on 7th street in mansions they inherited 1800 and in step the du ponts irenee du pont was fleeing the war in france he made the jaunt cause apparently murder rate was higher for gentle people spitting on the third estate he started working late, he had grand design and when we cut a couple fingers off the hands of time the du ponts were running under delaware like panty lines they built a mill for small explosives on the brandywine but gun powder's just as temperamental as the rich kids with ceo potential it's essential to compete for our emergencies which brings me to a company called hercules chorus i hope i'm just as strong as hercules i hope i'm just as strong as hercules but when it comes to stacking currencies i'd like to be as strong as hercules verse 2 hercules gunpowder started kind of small du pont had it all, were sparkling wall to wall they were ballin in the fall of 1899 when t.c. dupont crawled up the brandywine now thomas coleman, started as a coal man in the mines in kentucky with his old man joined whole fam, and flipping the strip tease went from fig leaves all the way to big cheese never got on his knees for the love it won him from couple of brothers, lewis and russell dunham they were running shit with coleman's muscle lewis wasn't clueless but russell's on his hustle now brother lou, was coleman's true blue man t.c. would idea and lou drew plans dupont had seventy percent of gdp when it came to gun powder and tnt they bought even bought hercules ""scandilous!"" said the government, so brought on anti-trust litigation, and they split business up in three into atlas and dupont, and hercules but certainly they were busting heads put in work at hercules, then made russell prez in 1912 up the road from dover my great great grandfather russ took over chorus i know i'm just just as strong as hercules i know i'm just just as strong as hercules because it's written in my history i know i'm just as strong as hercules verse 3 russell dunham, we said daddy d or sugar daddy d to half the family ran hercules as an affable property slap on the wrist from capitalist democracy and so between tc and papa d a bit improperly they adopt a monopoly and instead of dotting the i's and often crossing the t's they take a walk in the trees, and talk and pocket the cheese and when russell dropped to his knees, his heirs cashed out every generation after the shares passed down (so where's that now?) split between six ladies and my mother had the stocks till the 1980's (if stonewall pays my phone calls if san juan fills my scantron if every molten shower out in okinawa fueled by smoking powder pays my broken power send my folks the flowers) if it's irrelevant to my intelligence gimme a shotgun, i'm dropping these pink elephants i'll take a tranquilizer shot and sell the sedatives out in delaware well aware the fella lives (and what if iwo jima) all the skeletons in my closet are dead relatives (and if the fall of saigon) and then i grow up to be another screw up (and if the tet offensive) but if i blow up it'll be cause they blew up chorus my mother loves me more than hercules my parents work harder than hercules but if i think of this as burglary i know i'm stronger cause of hercules"
